,e,r,roll_avg_r,roll_std_r,upper_r,lower_r
365,365,500.0,416.92,117.08148915196107,646.3997187378437,187.44028126215633
366,366,500.0,419.5,117.46962264729514,649.7404603886985,189.25953961130153
367,367,500.0,425.14,114.325352054778,649.2176900273648,201.06230997263512
368,368,500.0,431.26,109.80034013552736,646.4686666656337,216.05133333436635
369,369,204.0,431.02,110.29246648463918,647.1932343098928,214.8467656901072
370,370,500.0,431.02,110.29246648463918,647.1932343098928,214.8467656901072
371,371,419.0,435.86,104.05100986084264,639.7999793272515,231.92002067274845
372,372,500.0,435.86,104.05100986084264,639.7999793272515,231.92002067274845
373,373,500.0,435.86,104.05100986084264,639.7999793272515,231.92002067274845
374,374,500.0,437.12,104.4457949447109,641.8337580916334,232.40624190836664
375,375,500.0,444.06,96.40040011772297,633.004784230737,255.115215769263
376,376,500.0,446.16,96.45351211853271,635.2088837523241,257.1111162476759
377,377,500.0,446.16,96.45351211853271,635.2088837523241,257.1111162476759
378,378,500.0,447.3,96.75178635697246,636.9335012596661,257.66649874033396
379,379,322.0,447.9,95.85794123576366,635.7815648220967,260.0184351779032
380,380,500.0,448.86,96.13978131356625,637.2939713745899,260.42602862541014
381,381,500.0,451.04,96.03676166883528,639.2720528709172,262.8079471290829
382,382,500.0,452.9,96.0669940559124,641.1913083495883,264.60869165041163
383,383,500.0,452.92,96.07689097588333,641.2307063127314,264.6092936872687
384,384,500.0,455.36,95.68373926213171,642.9001289537782,267.81987104622186
385,385,500.0,457.72,95.29182674761718,644.4919804253298,270.94801957467035
386,386,500.0,461.56,92.97578354889268,643.7925357558297,279.32746424417036
387,387,153.0,459.62,98.33758805507549,652.361672587948,266.87832741205204
388,388,418.0,458.16,98.40407325234557,651.0319835745973,265.2880164254027
389,389,500.0,458.74,98.56662721225644,651.9305893360226,265.54941066397737
390,390,500.0,458.74,98.56662721225644,651.9305893360226,265.54941066397737
391,391,500.0,458.74,98.56662721225644,651.9305893360226,265.54941066397737
392,392,500.0,458.74,98.56662721225644,651.9305893360226,265.54941066397737
393,393,500.0,463.18,95.20154560570019,649.7750293871724,276.58497061282765
394,394,500.0,463.18,95.20154560570019,649.7750293871724,276.58497061282765
395,395,500.0,468.08,90.45459792467274,645.3710119323586,290.7889880676414
396,396,500.0,468.08,90.45459792467274,645.3710119323586,290.7889880676414
397,397,500.0,468.08,90.45459792467274,645.3710119323586,290.7889880676414
398,398,500.0,468.08,90.45459792467274,645.3710119323586,290.7889880676414
399,399,500.0,476.14,72.98168906496636,619.1841105673341,333.0958894326659
400,400,500.0,476.14,72.98168906496636,619.1841105673341,333.0958894326659
401,401,500.0,476.14,72.98168906496636,619.1841105673341,333.0958894326659
402,402,500.0,476.14,72.98168906496636,619.1841105673341,333.0958894326659
403,403,500.0,476.14,72.98168906496636,619.1841105673341,333.0958894326659
404,404,500.0,476.14,72.98168906496636,619.1841105673341,333.0958894326659
405,405,283.0,475.6,74.32361670424764,621.2742887403253,329.92571125967464
406,406,500.0,475.6,74.32361670424764,621.2742887403253,329.92571125967464
407,407,500.0,475.6,74.32361670424764,621.2742887403253,329.92571125967464
408,408,500.0,475.6,74.32361670424764,621.2742887403253,329.92571125967464
409,409,500.0,475.6,74.32361670424764,621.2742887403253,329.92571125967464
410,410,390.0,473.4,75.20936763190977,620.8103605585432,325.9896394414568
411,411,500.0,473.4,75.20936763190977,620.8103605585432,325.9896394414568
412,412,500.0,473.4,75.20936763190977,620.8103605585432,325.9896394414568
413,413,500.0,473.4,75.20936763190977,620.8103605585432,325.9896394414568
414,414,500.0,473.78,75.29649963406519,621.3611392827677,326.1988607172322
